city,lat,long,population
Stepnohirsk,47.5861,35.3638,4420
Zabolottya,51.6333,24.2667,4411
Znamenivka,48.6344,35.4561,4410
Svyatohirs’k,49.0333,37.5833,4395
Bytkiv,48.6244,24.4858,4389
Krynychne,45.5358,28.6678,4348
Shyshaky,49.8769,34.0071,4347
Brylivka,46.425,33.1511,4339
Zaozerne,45.16,33.2747,4332
Mliiv,49.3475,31.5364,4330
Almazna,48.5167,38.5833,4301
Dovbysh,50.3722,27.9895,4288
Kolchyno,48.4667,22.7667,4283
Shabelkivka,48.7608,37.4881,4267
Sursko-Lytovske,48.3364,34.9355,4264
Serednye,48.5333,22.5,4258
Novyi Kalyniv,49.5606,23.3044,4256
Cherkaske,48.7008,35.3844,4252
Vorokhta,48.2833,24.5667,4246
Mykolaivka,50.9422,34.382,4210
Obroshino,49.7853,23.8686,4186
Lyman,49.5894,36.47,4184
Krynychky,48.3686,34.4644,4176
Lazeshchyna,48.2692,24.4186,4174
Hryshkivtsi,49.9356,28.6017,4150
Ustynivka,47.95,32.5333,4142
Melioratyvne,48.6222,35.3477,4140
Berezanka,46.855,31.3875,4132
Auly,48.5575,34.4628,4127
Volodkova Divytsia,50.9436,31.7894,4107
Novomykolaivka,48.5556,34.3771,4090
Luhyny,51.0667,28.3833,4077
Nova Ushytsia,48.833,27.2672,4075
Oleksandrivka,47.9208,37.575,4068
Kuty,48.2636,25.1736,4067
Hołoby,51.0833,25.0167,4058
Kolky,51.0992,25.6667,4057
Velyki Sorochyntsi,50.0253,33.9477,4050
Novopillia,47.9539,33.5278,4037
Krynychne,47.9528,39.7383,4027
Tyvriv,49.0116,28.5011,4006
Zabolotiv,48.4667,25.2833,3998
Vyzhnytsia,48.25,25.1917,3997
Yerky,48.9781,30.9919,3976
Suprunivka,49.5812,34.427,3974
Skalat,49.4333,25.9833,3957
Dzhulynka,48.4417,29.7475,3953
Rubanivka,46.9953,34.1694,3927
Matviyivka,47.9026,35.3046,3902
Simeiz,44.4069,34.0111,3901
Dashiv,49.0047,29.4278,3887
Bohuslav,48.4661,36.0287,3880
Rozhniativ,48.9354,24.1585,3874
Radushne,47.822,33.5029,3874
Lokachi,50.7383,24.6372,3856
Onufriivka,48.9023,33.4464,3855
Solotvyn,48.7,24.5333,3850
Klembivka,48.3894,28.4064,3842
Prymorske,47.6244,35.2943,3840
Holubivka,48.8853,35.3246,3836
Verbky,48.5911,35.8967,3822
Bibrka,49.6358,24.2936,3817
Kalynivka,50.5592,30.8211,3806
Lazy,48.0581,23.645,3801
Pavlivka,49.4411,28.4653,3798
Komarno,49.6333,23.7,3794
Vendychany,48.613,27.7944,3793
Chaplyne,48.1273,36.2374,3783
Velykyi Burluk,50.0456,37.3906,3772
Dmytrivka,48.3887,36.1918,3772
Lypcha,48.2628,23.3819,3769
Novosilky,50.3544,30.4544,3761
Medvyn,49.3903,30.7847,3749
Nyzhnya Syrovatka,50.7814,34.8382,3717
Preobrazhenka,47.5784,35.8038,3710
